Date,Open,High,Low,Close,Volume,Adj Close
2006-11-17,24.5,25.18,23.5,24.74,18358000,24.74
2006-11-20,24.690001,25.67,24.290001,25.0,1689000,25.0
2006-11-21,25.0,25.190001,24.309999,24.6,1179900,24.6
2006-11-22,24.57,26.879999,24.5,26.879999,1260800,26.879999
2006-11-24,27.0,27.959999,26.879999,27.75,350300,27.75
2006-11-27,28.389999,28.5,27.92,28.35,910500,28.35
2006-11-28,28.530001,28.9,27.75,28.17,587500,28.17
2006-11-29,28.5,28.950001,28.0,28.27,414700,28.27
2006-11-30,28.799999,28.799999,28.0,28.299999,245700,28.299999
2006-12-01,28.299999,28.299999,27.559999,27.889999,257300,27.889999
2006-12-04,28.0,28.4,27.559999,27.879999,483000,27.879999
2006-12-05,27.620001,27.889999,26.4,27.08,782400,27.08
2006-12-06,26.799999,27.629999,26.77,27.200001,138300,27.200001
2006-12-07,27.700001,27.74,27.32,27.32,155100,27.32
2006-12-08,27.5,27.57,27.200001,27.530001,55300,27.530001
2006-12-11,27.32,28.4,27.32,27.950001,232600,27.950001
2006-12-12,28.200001,28.200001,26.91,27.200001,371700,27.200001
2006-12-13,27.299999,28.110001,26.5,27.639999,547700,27.639999
2006-12-14,27.620001,28.620001,27.32,27.93,837700,27.93
2006-12-15,28.360001,29.280001,27.77,29.049999,2069200,29.049999
2006-12-18,29.32,29.870001,28.42,28.59,738900,28.59
2006-12-19,28.0,28.200001,26.540001,27.790001,470800,27.790001
2006-12-20,27.879999,28.92,27.01,27.780001,284200,27.780001
2006-12-21,27.5,27.85,26.66,26.690001,616700,26.690001
2006-12-22,26.99,27.700001,26.860001,27.530001,151200,27.530001
2006-12-26,27.629999,28.34,27.040001,27.1,87500,27.1
2006-12-27,28.24,28.809999,27.74,28.809999,788300,28.809999
2006-12-28,28.719999,29.98,28.0,29.860001,1396200,29.860001
2006-12-29,29.99,30.0,29.02,29.84,355500,29.84
2007-01-03,30.17,30.290001,28.200001,28.5,487000,28.5
2007-01-04,28.110001,28.84,28.0,28.75,325500,28.75
2007-01-05,28.65,28.65,27.73,28.15,524300,28.15
2007-01-08,28.26,29.0,28.26,28.9,317000,28.9
2007-01-09,29.0,29.77,28.950001,29.27,232800,29.27
2007-01-10,29.219999,29.67,29.09,29.16,267700,29.16
2007-01-11,29.190001,29.73,28.75,29.34,362400,29.34
2007-01-12,29.27,29.610001,29.27,29.530001,176400,29.530001
