Date,Open,High,Low,Close,Volume,Adj Close
2010-08-12,13.0,16.41,12.42,14.52,4381200,14.52
2010-08-13,14.2,15.34,14.1,15.0,519700,15.0
2010-08-16,15.95,17.0,14.58,16.25,104400,16.25
2010-08-17,16.07,16.93,15.18,16.209999,607100,16.209999
2010-08-18,16.200001,17.190001,15.98,16.75,350800,16.75
2010-08-19,16.4,17.389999,16.4,17.040001,231800,17.040001
2010-08-20,17.190001,17.540001,16.85,17.09,311700,17.09
2010-08-23,17.32,18.18,16.75,17.440001,119700,17.440001
2010-08-24,17.5,17.5,16.35,17.0,150100,17.0
2010-08-25,17.17,17.4,16.620001,17.07,51600,17.07
2010-08-26,17.0,17.049999,16.82,16.9,38200,16.9
2010-08-27,16.73,17.200001,16.700001,16.99,94900,16.99
2010-08-30,17.0,17.25,16.870001,16.93,122600,16.93
2010-08-31,16.99,17.379999,16.469999,16.74,60300,16.74
2010-09-01,16.85,16.860001,16.41,16.620001,30800,16.620001
2010-09-02,16.549999,17.059999,16.25,16.99,43200,16.99
2010-09-03,17.030001,17.33,16.790001,17.17,62000,17.17
2010-09-07,17.209999,17.92,16.5,17.209999,87100,17.209999
2010-09-08,17.35,18.15,17.309999,17.59,34300,17.59
2010-09-09,17.889999,17.889999,16.67,17.23,28400,17.23
2010-09-10,17.139999,17.200001,16.26,16.450001,82400,16.450001
2010-09-13,16.49,16.75,15.76,16.559999,93500,16.559999
2010-09-14,16.190001,17.940001,15.93,17.75,73200,17.75
2010-09-15,17.68,18.83,17.26,18.0,127400,18.0
2010-09-16,17.99,19.23,17.99,19.049999,130400,19.049999
2010-09-17,19.15,19.629999,18.530001,19.040001,122500,19.040001
2010-09-20,19.200001,19.58,18.9,19.379999,96300,19.379999
2010-09-21,19.6,19.99,19.459999,19.700001,214600,19.700001
2010-09-22,19.780001,19.799999,19.25,19.719999,122400,19.719999
2010-09-23,19.16,19.700001,18.360001,19.0,119700,19.0
2010-09-24,19.030001,19.24,18.01,18.73,98100,18.73
2010-09-27,18.860001,18.860001,18.110001,18.360001,141400,18.360001
2010-09-28,18.67,18.77,17.42,18.27,117900,18.27
2010-09-29,18.41,19.4,18.4,19.23,75400,19.23
2010-09-30,19.200001,19.34,18.530001,19.08,1364400,19.08
2010-10-01,19.24,19.639999,19.1,19.459999,122300,19.459999
2010-10-04,19.309999,19.5,19.049999,19.43,45500,19.43
2010-10-05,19.6,19.75,19.24,19.700001,68400,19.700001
2010-10-06,19.700001,19.93,18.92,19.530001,131600,19.530001
